"ancestor_concept_id","descendant_concept_id","min_levels_of_separation","max_levels_of_separation"
440921,35625043,1,1
442564,46270406,1,1
604180,4051479,1,1
441840,4185197,1,1
313800,606421,1,1
606771,4146460,1,1
77630,4042834,1,1
193666,4344395,1,1
444131,619020,1,1
432795,194702,1,1
443957,40482935,1,1
443407,605283,1,1
200219,4266830,1,1
192763,4319280,1,1
197311,195562,1,1
607784,433385,1,1
608027,444276,1,1
603079,44782730,1,1
605525,42709925,1,1
442106,4034970,1,1
605014,35624326,1,1
604317,45757653,1,1
29979,4152480,1,1
440921,439235,1,1
618961,4087594,1,1
440921,46269931,1,1
604801,601620,1,1
607147,4176243,1,1
140190,4046351,1,1
607431,46270450,1,1
442106,4297816,1,1
74786,4018369,1,1
443883,4148381,1,1
444070,315643,1,1
600596,600598,1,1
198400,4057962,1,1
440895,440595,1,1
605783,200319,1,1
381677,4068964,1,1
440921,37312105,1,1
80482,4188413,1,1
438028,607217,1,1
619676,618999,1,1
312349,607831,1,1
607147,4179750,1,1
253549,4238825,1,1
439125,4159650,1,1
606770,4192056,1,1
604317,4094059,1,1
605525,4344140,1,1
606234,606231,1,1
444200,4302754,1,1
440921,4145094,1,1
443253,439234,1,1
605429,4051297,1,1
138601,254796,1,1
320746,4224935,1,1
606632,4124993,1,1
605027,433495,1,1
442106,37206611,1,1
257581,45769438,1,1
432795,192972,1,1
440029,4193169,1,1
440921,4218389,1,1
607147,4178256,1,1
438028,434223,1,1
444187,4235831,1,1
141253,138387,1,1
138723,4098028,1,1
606559,77638,1,1
606561,4056591,1,1
606386,46273369,1,1
75128,37116488,1,1
432250,4028069,1,1
604317,4230824,1,1
375252,3663197,1,1
315564,321107,1,1
441840,4253739,1,1
437125,607025,1,1
253549,4338843,1,1
437158,433919,1,1
441840,4117930,1,1
600861,4195932,1,1
439143,3655961,1,1
440921,4094343,1,1
602985,4264649,1,1
140090,4208028,1,1
438028,436296,1,1
606556,80189,1,1
607145,4306357,1,1
440059,4161456,1,1
600597,4109043,1,1
618708,4237314,1,1
608027,4086899,1,1
438028,607112,1,1
608234,438037,1,1
378253,375527,1,1
608027,40493247,1,1
77074,4170554,1,1
444129,4312504,1,1
600861,4002660,1,1
444129,4018221,1,1
607997,4174520,1,1
46270564,46269754,1,1
46270009,437268,1,1
607149,4054783,1,1
436581,439501,1,1
442106,4035439,1,1
440508,45757441,1,1
604317,4001293,1,1
440448,606479,1,1
46272830,40480208,1,1
436581,444096,1,1
600562,4112681,1,1
46269798,4346162,1,1
46269890,46269876,1,1
46273641,46270475,1,1
46271459,40484551,1,1
46269879,46269882,1,1
46270317,4167912,1,1
46270464,46270418,1,1
46270151,46273390,1,1
46273955,4116354,1,1
46269891,46269877,1,1
46272059,4311708,1,1
46271011,441223,1,1
46270450,46270435,1,1
437409,4111709,1,1
46269695,40480275,1,1
46273239,37017436,1,1
606960,36713576,1,1
46269907,194395,1,1
46269884,46269883,1,1
46273239,36684478,1,1
46270009,40602337,1,1
46270817,4155029,1,1
619020,619021,1,1
46271022,37017104,1,1
46269998,376189,1,1
607148,4166623,1,1
46271022,36716947,1,1
46273183,46269907,1,1
46273477,46269839,1,1
46270500,42872883,1,1
253549,45757419,1,1
46272749,4103166,1,1
46269884,46269885,1,1
441840,4227253,1,1
600537,4095547,1,1
46269951,46269848,1,1
46273955,4114352,1,1
46269889,46269888,1,1
46272059,37312615,1,1
46273429,4067971,1,1
444132,4035415,1,1
440508,45757440,1,1
77074,604800,1,1
440921,4054807,1,1
46270317,45766940,1,1
440921,4058494,1,1
46273161,4117689,1,1
46269998,381020,1,1
46269853,42538649,1,1
46270151,42873170,1,1
46270009,4189719,1,1
46269884,46269887,1,1
46273238,36684479,1,1
440029,4291005,1,1
46270484,4196141,1,1
440921,40485984,1,1
46272749,46269750,1,1
46269798,46273510,1,1
46273620,46273162,1,1
619743,4020302,1,1
46273641,46273639,1,1
605539,36712706,1,1
46270353,46273636,1,1
46271381,4091509,1,1
80004,4108372,1,1
46269907,45757543,1,1
46270817,4155033,1,1
46273240,4322723,1,1
199991,4128369,1,1
600861,40492697,1,1
46272381,46270430,1,1
46273641,46270472,1,1
46272492,37016885,1,1
46274079,46269858,1,1
46270483,4152858,1,1
46273955,37018668,1,1
46269874,46269875,1,1
46273429,194420,1,1
46272492,37016889,1,1
46269695,4129733,1,1
46271318,4007084,1,1
46271954,46271952,1,1
46272492,320739,1,1
46270318,36676238,1,1
46271022,443597,1,1
199860,4212562,1,1
46271022,198185,1,1
46269888,46274073,1,1
72618,605317,1,1
46272381,46270451,1,1
46269817,46269835,1,1
441712,4049959,1,1
607149,4171817,1,1
438028,44782993,1,1
46273429,4130533,1,1
46270484,4114427,1,1
46269998,376124,1,1
46270317,4117701,1,1
46271074,46273719,1,1
46271022,443601,1,1
605539,4195989,1,1
46269853,42538650,1,1
619021,4059259,1,1
46272380,46272381,1,1
46269952,46269840,1,1
46270491,46270122,1,1
46269843,46269849,1,1
437760,4158582,1,1
46269695,4032281,1,1
46273463,4183609,1,1
46270500,4276182,1,1
46269907,46270529,1,1
46269847,46269851,1,1
46270383,46270382,1,1
46273489,761039,1,1
441840,4306009,1,1
46269695,141089,1,1
604801,4079724,1,1
46270451,46270445,1,1
46271527,4214374,1,1
76611,4135648,1,1
46271404,4046957,1,1
46270564,46273461,1,1
46270500,440751,1,1
46269870,46269871,1,1
