"ancestor_concept_id","descendant_concept_id","min_levels_of_separation","max_levels_of_separation"
46269879,46269878,1,1
375415,37110688,1,1
437409,4014781,1,1
46269695,37205056,1,1
46271404,4209837,1,1
46271022,43531578,1,1
46271403,4042721,1,1
607566,4236187,1,1
46273183,197024,1,1
604317,438836,1,1
198899,4056304,1,1
46269695,442325,1,1
46270371,46269732,1,1
46269844,46269850,1,1
46272380,46273641,1,1
46269951,46269838,1,1
46269732,4291277,1,1
192438,606462,1,1
46272749,4116485,1,1
375631,377271,1,1
46269889,46269874,1,1
441840,4086181,1,1
377659,200200,1,1
46274082,46274069,1,1
46273207,4237315,1,1
46269998,438152,1,1
377889,609269,1,1
46269884,46269879,1,1
46270117,372921,1,1
619741,4293479,1,1
46270429,46270416,1,1
46273478,46269841,1,1
46271045,42539256,1,1
46270384,4285717,1,1
46270151,40481547,1,1
46273641,46270470,1,1
46271075,37016114,1,1
46269854,4005755,1,1
46270117,37206814,1,1
46273183,4026112,1,1
605282,4108375,1,1
46269998,381014,1,1
46269884,46269886,1,1
46273161,4009619,1,1
46273489,4028057,1,1
46269792,4293292,1,1
46273082,195587,1,1
46269740,4030982,1,1
46270429,46270420,1,1
438112,4054501,1,1
46273183,4128705,1,1
46269903,37116441,1,1
438112,4180312,1,1
46270563,4002792,1,1
46271022,443614,1,1
46269889,46269884,1,1
46270531,440140,1,1
440417,36713113,1,1
46271404,4132867,1,1
140190,45766457,1,1
46273620,4211842,1,1
46272492,201043,1,1
256197,4184896,1,1
435662,3655956,1,1
46269795,46273829,1,1
619021,4059257,1,1
46269870,46274072,1,1
46269998,374351,1,1
441840,4102111,1,1
46269695,4196665,1,1
601837,4116633,1,1
46273641,46270471,1,1
46273641,46270473,1,1
46270430,46270417,1,1
72618,605318,1,1
46273775,4108681,1,1
46271022,443612,1,1
46272492,37115756,1,1
433701,4193175,1,1
46270009,440098,1,1
46273430,4048225,1,1
46269889,46269891,1,1
46270009,440705,1,1
46271074,4140438,1,1
46269693,4080753,1,1
442106,4098145,1,1
376106,380839,1,1
440921,440933,1,1
46273182,37017911,1,1
46272492,37016887,1,1
46273641,46270474,1,1
46270495,46270494,1,1
46270009,4292727,1,1
46269879,46269881,1,1
46269695,141475,1,1
46269692,4054406,1,1
253549,439808,1,1
436581,439476,1,1
441840,255919,1,1
46270117,46270116,1,1
46270371,46269791,1,1
46269693,45767051,1,1
602962,602961,1,1
46270371,4247582,1,1
197917,619712,1,1
607396,37110352,1,1
46273429,4160180,1,1
606633,606632,1,1
440921,432787,1,1
46269853,46269852,1,1
46273719,36716978,1,1
46273307,26908,1,1
46269996,4178622,1,1
440921,4163771,1,1
46269852,140506,1,1
46269754,46269756,1,1
46269879,46269880,1,1
141253,4030041,1,1
444107,4307667,1,1
435662,3655955,1,1
46272749,46269757,1,1
46273197,434880,1,1
604317,4262220,1,1
46271902,46269758,1,1
440921,4177093,1,1
46271022,443611,1,1
46270564,46269755,1,1
197136,434509,1,1
46273463,46270491,1,1
46269692,40488853,1,1
194526,4217497,1,1
46269695,4294440,1,1
609066,759931,1,1
46273307,439721,1,1
46273183,442190,1,1
195906,36717576,1,1
46273429,4245031,1,1
435244,4262136,1,1
46271022,44782429,1,1
46273641,46273638,1,1
46270430,46270426,1,1
46270500,4054617,1,1
46270429,46270425,1,1
46273829,46269794,1,1
46271403,40479575,1,1
441840,4041281,1,1
46273539,4197404,1,1
46270371,4061739,1,1
46272492,4043737,1,1
46270031,46273649,1,1
46269695,137785,1,1
46269798,4316084,1,1
607856,43021974,1,1
619253,4167532,1,1
373176,443864,1,1
46271022,36716455,1,1
46270317,4133610,1,1
46273460,3655116,1,1
46273620,4344258,1,1
46273829,40480712,1,1
46269798,436204,1,1
46269732,46269733,1,1
440913,44782981,1,1
46270117,378747,1,1
441840,4089844,1,1
444195,195958,1,1
46270371,141372,1,1
607566,4152774,1,1
46271022,45773688,1,1
603048,4314521,1,1
46269866,46269867,1,1
441840,4302537,1,1
46269889,46269890,1,1
46273489,319054,1,1
46270317,4115178,1,1
46273162,134452,1,1
46269695,4262239,1,1
46269998,376984,1,1
46270117,374941,1,1
46269691,4086243,1,1
46272492,37016886,1,1
608064,76914,1,1
432787,437176,1,1
46269697,196029,1,1
46269998,4130053,1,1
46270500,4275115,1,1
432545,4193873,1,1
604687,4206244,1,1
441840,4101673,1,1
76565,434212,1,1
441840,4266926,1,1
316478,312383,1,1
607566,4013156,1,1
198892,4298441,1,1
444208,619430,1,1
442313,444120,1,1
432250,4170143,1,1
602950,602949,1,1
80497,137548,1,1
77630,40480731,1,1
440878,136562,1,1
607217,4092830,1,1
603079,377845,1,1
438028,4245794,1,1
604180,42537252,1,1
440921,4002659,1,1
442599,433832,1,1
195562,4143296,1,1
258369,619300,1,1
434872,605344,1,1
601837,4114158,1,1
75128,4114601,1,1
618696,4310238,1,1
604317,4187096,1,1
606863,4171807,1,1
442106,4259507,1,1
601114,444238,1,1
600855,4208918,1,1
373648,619354,1,1
440921,4050079,1,1
438398,434910,1,1
443783,437878,1,1
606479,4178300,1,1
374142,4300451,1,1
200588,197344,1,1
607147,4053782,1,1
441840,40483632,1,1
606353,4316334,1,1
444130,44806638,1,1
438112,373718,1,1
434033,4188694,1,1
607997,4096315,1,1
608027,440268,1,1
608245,138117,1,1
442747,4064030,1,1
133914,4059858,1,1
442562,4173797,1,1
440029,4193983,1,1
312334,4203625,1,1
605020,4309488,1,1
441840,4088927,1,1
608064,75488,1,1
609236,602073,1,1
24818,42872732,1,1
253549,4320332,1,1
604687,434769,1,1
434314,606420,1,1
75865,4316364,1,1
73362,78910,1,1
73571,4115176,1,1
607147,4173994,1,1
604800,4101378,1,1
194526,42536879,1,1
606559,318521,1,1
604317,4122186,1,1
372765,139955,1,1
434156,4097998,1,1
442982,4103137,1,1
196856,200293,1,1
605021,443606,1,1
440921,4219198,1,1
432250,4320030,1,1
444063,195589,1,1
375800,374341,1,1
257755,4207623,1,1
607997,4235863,1,1
196307,4191611,1,1
602827,4129254,1,1
138841,36716598,1,1
440921,37116521,1,1
606509,4170835,1,1
132841,316356,1,1
605317,260130,1,1
440511,45766902,1,1
442106,77961,1,1
608006,195223,1,1
76611,46270410,1,1
619102,4251575,1,1
604180,4131444,1,1
439156,4042220,1,1
440029,4207188,1,1
134735,4344375,1,1
606805,4299094,1,1
619216,4273523,1,1
620316,620317,1,1
432453,4272867,1,1
607549,440518,1,1
438028,434540,1,1
372765,440878,1,1
434231,379209,1,1
201612,36715922,1,1
606543,4167345,1,1
26286,4059703,1,1
198988,436635,1,1
441840,607856,1,1
193312,607921,1,1
432250,4056769,1,1
76611,72708,1,1
443458,4325195,1,1
608027,435169,1,1
438167,260730,1,1
30346,601998,1,1
24818,4154162,1,1
433823,43530945,1,1
436010,442579,1,1
196620,606837,1,1
198899,194788,1,1
608005,4323139,1,1
438028,44783034,1,1
321887,198798,1,1
604801,601622,1,1
432545,36715557,1,1
432250,40485376,1,1
78235,4056008,1,1
434810,4108473,1,1
619054,437922,1,1
253549,4177206,1,1
441447,433905,1,1
438028,437457,1,1
136516,4006600,1,1
435371,4072634,1,1
201728,4028519,1,1
440921,438658,1,1
432795,43530876,1,1
439940,441973,1,1
75344,606559,1,1
605525,603079,1,1
434621,442313,1,1
607566,4056590,1,1
438112,4028253,1,1
606234,606232,1,1
441840,4354265,1,1
78560,603043,1,1
619024,4038530,1,1
444195,254790,1,1
605030,4338221,1,1
619430,4292369,1,1
607233,4055123,1,1
620316,620314,1,1
440921,40491866,1,1
433701,4208780,1,1
606874,4195898,1,1
435244,40403168,1,1
440921,42873172,1,1
192956,201070,1,1
440921,438039,1,1
443771,45757756,1,1
607865,4137276,1,1
604317,4199440,1,1
605581,443608,1,1
133468,141456,1,1
442106,4099340,1,1
76611,46270403,1,1
607147,4171799,1,1
436581,442794,1,1
432250,4102128,1,1
607147,606739,1,1
197311,4121646,1,1
79104,4117242,1,1
81250,609066,1,1
441840,4038502,1,1
437409,36716736,1,1
607566,135691,1,1
604317,4097380,1,1
133002,4001282,1,1
432795,4107514,1,1
440142,313500,1,1
440921,40485985,1,1
434824,373487,1,1
434810,4152630,1,1
193079,3655188,1,1
607217,4101256,1,1
607997,4333742,1,1
135974,437728,1,1
440921,45769811,1,1
381312,605021,1,1
444187,4312914,1,1
602003,37018665,1,1
619057,36716686,1,1
433701,4207191,1,1
432545,133566,1,1
440921,4095850,1,1
439040,618759,1,1
438112,4267560,1,1
433602,3655957,1,1
441840,4023995,1,1
606761,4174619,1,1
443748,4187913,1,1
257581,4250128,1,1
141253,4030044,1,1
374034,380707,1,1
605525,72413,1,1
600660,440516,1,1
619019,619023,1,1
607204,4052690,1,1
603049,42537890,1,1
432545,4193167,1,1
604317,4170315,1,1
444131,619019,1,1
434621,4311256,1,1
436581,438038,1,1
441364,443929,1,1
440921,4212711,1,1
440029,4208666,1,1
81659,4129839,1,1
258369,619299,1,1
198249,762324,1,1
444450,4313186,1,1
198198,4093943,1,1
440921,437428,1,1
604800,4146938,1,1
605429,4050390,1,1
432250,4102735,1,1
440921,437699,1,1
432250,608207,1,1
436079,42538589,1,1
253549,4185539,1,1
600861,435411,1,1
443443,4092225,1,1
604317,46269751,1,1
436581,608234,1,1
602950,4322306,1,1
434223,36713290,1,1
444130,444188,1,1
603047,603048,1,1
608741,4271021,1,1
378161,4107554,1,1
440921,4180126,1,1
436581,4314086,1,1
440921,37016156,1,1
140214,4066834,1,1
442019,4196369,1,1
443253,607204,1,1
607921,4042407,1,1
607997,4095852,1,1
604317,4166269,1,1
200588,443527,1,1
442106,603322,1,1
604317,46270399,1,1
619742,76611,1,1
602949,4157354,1,1
434541,78633,1,1
197950,75337,1,1
444132,4117413,1,1
607566,37116601,1,1
608243,4177234,1,1
192438,4152541,1,1
73913,432498,1,1
313500,606882,1,1
432250,4252862,1,1
438112,4054430,1,1
375913,4159581,1,1
436581,438635,1,1
438112,4308811,1,1
606559,4251304,1,1
74472,436799,1,1
375415,46284319,1,1
439397,4178018,1,1
193079,81195,1,1
432545,4026017,1,1
432250,4193990,1,1
194394,4043382,1,1
141960,4082588,1,1
607578,42537706,1,1
440921,4234083,1,1
141934,4170728,1,1
78200,602303,1,1
133298,4308802,1,1
194526,608005,1,1
439143,3655960,1,1
376208,4083964,1,1
437409,4133611,1,1
440921,4132546,1,1
608027,440601,1,1
80004,140884,1,1
253549,75863,1,1
80004,135974,1,1
373449,4199769,1,1
257581,40481763,1,1
437760,4162752,1,1
257004,46269701,1,1
75634,606229,1,1
443795,137858,1,1
444130,4332732,1,1
440921,4136551,1,1
607925,4218863,1,1
440921,4293700,1,1
619712,4187364,1,1
434223,608324,1,1
374009,381537,1,1
604276,4087597,1,1
193460,37312530,1,1
134517,139179,1,1
444189,4116926,1,1
198892,444095,1,1
618928,4299276,1,1
442106,134330,1,1
372328,45769847,1,1
436581,4095364,1,1
440029,381783,1,1
604317,4179826,1,1
619741,4234320,1,1
606834,42536958,1,1
442106,4033222,1,1
440921,4265723,1,1
440371,606388,1,1
760830,35615028,1,1
761958,605580,1,1
760872,606330,1,1
760895,601142,1,1
764154,4031012,1,1
762424,605029,1,1
761049,37016355,1,1
760851,45757200,1,1
760902,36687162,1,1
760872,606322,1,1
764156,37109007,1,1
761957,605581,1,1
761158,35611566,1,1
765240,762360,1,1
760902,36687143,1,1
761051,761049,1,1
760903,36687157,1,1
762324,4316228,1,1
762941,43530661,1,1
764155,602648,1,1
764156,602647,1,1
762755,4102124,1,1
3655886,312462,1,1
3656040,618918,1,1
3663197,604700,1,1
3654972,4059857,1,1
3657564,4054648,1,1
3656845,4323892,1,1
3654438,4115068,1,1
3663197,604749,1,1
4000610,4145825,1,1
3656040,37116512,1,1
3654543,4135634,1,1
4000610,4178810,1,1
3654438,4115841,1,1
4053826,4317266,1,1
4009180,4222152,1,1
4041284,373786,1,1
4043673,4044403,1,1
4049931,4152616,1,1
4028253,4170421,1,1
4030056,4177975,1,1
4053826,37311188,1,1
4032426,4220484,1,1
4022201,46269753,1,1
4077967,46269998,1,1
4040737,437448,1,1
4041284,4049972,1,1
4040737,4144753,1,1
4041284,606770,1,1
4054054,4067772,1,1
4041277,4061459,1,1
4071876,4143860,1,1
4042833,4113437,1,1
4041284,3655887,1,1
4027539,4055700,1,1
4003306,606234,1,1
4000963,4001455,1,1
4041284,4296465,1,1
4016547,24198,1,1
4050092,4054550,1,1
4053720,4054662,1,1
4066814,4231548,1,1
4054842,4129233,1,1
4050548,40490930,1,1
4055709,4164347,1,1
4023567,4001456,1,1
4004352,4064032,1,1
4052678,4096769,1,1
4053604,44783882,1,1
4005650,4064036,1,1
4054842,4129245,1,1
4022201,44783443,1,1
4054054,37116634,1,1
4049930,4155507,1,1
4054054,4236724,1,1
4029043,439417,1,1
4003030,602963,1,1
4002659,316457,1,1
4022201,37110697,1,1
4005650,4301158,1,1
4053584,4257686,1,1
4030056,4043001,1,1
4028244,319825,1,1
4014716,4053583,1,1
4054054,4083488,1,1
4007562,4111626,1,1
4022201,763883,1,1
4055596,40486482,1,1
4022201,134734,1,1
4053584,4086195,1,1
4027255,4125008,1,1
4041284,607969,1,1
4054927,4153697,1,1
4054054,4084432,1,1
4050227,74806,1,1
4031623,72521,1,1
4028245,377291,1,1
4030215,4029573,1,1
4033494,4031141,1,1
4077967,618961,1,1
4053837,444433,1,1
4001458,45757320,1,1
4056719,439399,1,1
4005650,4001996,1,1
4050747,46270317,1,1
4041277,4083297,1,1
4054739,4031109,1,1
4027909,620310,1,1
4044404,196307,1,1
4041284,4024712,1,1
4006969,257581,1,1
4045847,436526,1,1
4071709,435857,1,1
4022201,36713625,1,1
4041284,4207204,1,1
4041284,316814,1,1
4054054,4085550,1,1
4041284,4243048,1,1
4057948,198806,1,1
4000963,4002139,1,1
4029496,43530970,1,1
4060820,437850,1,1
4054054,4083489,1,1
4041284,437985,1,1
4066814,132583,1,1
4029498,4098316,1,1
4041284,4201565,1,1
4054910,4154458,1,1
4058513,75114,1,1
4053826,4300441,1,1
4052826,609302,1,1
4032881,4172185,1,1
4022201,4134296,1,1
4028939,4056202,1,1
4014716,4198832,1,1
4021915,4134446,1,1
4053720,4084589,1,1
4051743,619676,1,1
4048485,253910,1,1
4041285,4346283,1,1
4022449,43531064,1,1
4016541,437106,1,1
4053720,4324187,1,1
4053720,4111361,1,1
4022201,44806512,1,1
4019340,258895,1,1
4042501,607814,1,1
4028065,318397,1,1
4053826,138027,1,1
4050542,194994,1,1
4069778,433196,1,1
4053826,4274633,1,1
4034870,4212095,1,1
4041284,4236983,1,1
4041284,316822,1,1
4054054,4019065,1,1
4005650,37017059,1,1
4024705,4136529,1,1
4041277,4144685,1,1
4022202,4049931,1,1
4002898,4000964,1,1
4054054,4019071,1,1
4042502,4046100,1,1
4002661,602323,1,1
4041436,320682,1,1
4041284,4181859,1,1
4054837,608243,1,1
4054054,4194891,1,1
4053720,4108470,1,1
4041284,4101343,1,1
4002898,4182010,1,1
4041284,4270713,1,1
4022201,78238,1,1
4048669,435076,1,1
4050227,4148693,1,1
4028939,4129211,1,1
4031010,4270726,1,1
4053837,442268,1,1
4002898,4185035,1,1
4076121,44783886,1,1
4038838,603291,1,1
4006473,4103387,1,1
4067086,4029776,1,1
4041284,4024552,1,1
4048684,74132,1,1
4018221,4017655,1,1
4054054,4345582,1,1
4052970,4155030,1,1
4041284,4209426,1,1
4021783,4113619,1,1
4058670,76458,1,1
4053826,36686505,1,1
4005650,4066819,1,1
4006473,4294184,1,1
4058494,443585,1,1
4067424,606328,1,1
4056304,196268,1,1
4042501,133848,1,1
4032881,4033023,1,1
4041284,4321877,1,1
4053417,4299012,1,1
4024558,4271000,1,1
4006969,4199961,1,1
4030224,314457,1,1
4053826,4110713,1,1
4055474,37116494,1,1
4054054,4138287,1,1
4050227,75686,1,1
4023576,77364,1,1
4073287,193814,1,1
4053837,4056428,1,1
4019066,4019069,1,1
4022448,138841,1,1
4041284,312603,1,1
4054510,4095415,1,1
4042833,4188155,1,1
4054054,4137945,1,1
4042836,43531429,1,1
4042220,600519,1,1
4041284,4284125,1,1
4040416,4046219,1,1
4008090,4043388,1,1
4055709,4167108,1,1
4041284,4271398,1,1
4015597,4178258,1,1
4054054,4134311,1,1
4031642,618928,1,1
4053583,4036149,1,1
4059259,4062390,1,1
4062790,4065761,1,1
4042414,136865,1,1
4022449,4185643,1,1
4053826,36683647,1,1
4001454,141941,1,1
4022202,4009292,1,1
4018366,321710,1,1
4050528,79174,1,1
4031163,138864,1,1
4059452,606956,1,1
4005650,3655221,1,1
4053720,4054671,1,1
4005650,444068,1,1
4053825,4048172,1,1
4058513,74809,1,1
4008519,45767635,1,1
4053720,4055178,1,1
4066814,4098451,1,1
4054054,74124,1,1
4055709,4108641,1,1
4053826,4285863,1,1
4023985,4302891,1,1
4014716,4300078,1,1
4041284,4309771,1,1
4029496,43530976,1,1
4042835,3662342,1,1
4041256,4131755,1,1
4024705,4071030,1,1
4020009,4326962,1,1
4054501,4029820,1,1
4033772,604372,1,1
4008701,4027114,1,1
4028252,4317141,1,1
4053584,442149,1,1
4030555,4308941,1,1
4054052,4110048,1,1
4049932,4155516,1,1
4053599,141997,1,1
4010025,4150132,1,1
4005650,201612,1,1
4053720,4057924,1,1
4041284,4001997,1,1
4043679,4053590,1,1
4077967,4167091,1,1
4063381,255573,1,1
4054407,4313634,1,1
4021915,4211695,1,1
4040380,609236,1,1
4054054,37116633,1,1
4053826,4295478,1,1
4009309,4338763,1,1
4041284,4288891,1,1
4005650,4109548,1,1
4041284,4263759,1,1
4042220,4171114,1,1
4041284,4041277,1,1
4041284,4018236,1,1
4048520,314370,1,1
4047341,4276647,1,1
4022923,604801,1,1
4009635,46273184,1,1
4012073,197381,1,1
4028073,4113801,1,1
4054501,4054428,1,1
4053417,4154700,1,1
4047124,441274,1,1
4022449,4186165,1,1
4054501,4054820,1,1
4041284,4150614,1,1
4043346,37207455,1,1
4051743,76270,1,1
4028076,4318381,1,1
4022448,607865,1,1
4054054,40479208,1,1
4012073,40481920,1,1
4071709,46269870,1,1
4054054,4140532,1,1
4053720,4055331,1,1
4012073,433879,1,1
4002898,4185036,1,1
4054501,40481902,1,1
4064161,4252074,1,1
4053720,4111368,1,1
4041284,4179872,1,1
4001453,4134185,1,1
4050546,37116495,1,1
4070767,135360,1,1
4035449,605539,1,1
4044351,4237198,1,1
4005650,4143008,1,1
4027883,432620,1,1
4035751,607431,1,1
4029043,78916,1,1
4062393,199178,1,1
4057524,4277609,1,1
4032425,606960,1,1
4054406,4307538,1,1
4053598,4129403,1,1
4041284,253328,1,1
4056309,4153225,1,1
4043346,442426,1,1
4029027,600648,1,1
4024004,201909,1,1
4053837,4051747,1,1
4012234,193523,1,1
4054054,4134184,1,1
4009180,438820,1,1
4053417,443910,1,1
4050542,192767,1,1
4022201,4219010,1,1
4055709,4167107,1,1
4023985,4111309,1,1
4005650,4103376,1,1
4054839,4129880,1,1
4040737,4263848,1,1
4009752,44783972,1,1
4022570,4150306,1,1
4027876,195847,1,1
4025213,4115733,1,1
4041284,4141128,1,1
4050704,4058349,1,1
4053720,4108322,1,1
4022922,604317,1,1
4051056,81097,1,1
4041284,4040738,1,1
4041284,4024004,1,1
4054054,4134955,1,1
4031016,4223641,1,1
4022202,4147016,1,1
4030041,605651,1,1
4053826,36686483,1,1
4053826,4095256,1,1
4020159,43020459,1,1
4052360,4055713,1,1
4054501,4129882,1,1
4041284,4202835,1,1
4053720,4138484,1,1
4041284,436435,1,1
4056435,605429,1,1
4055477,40492312,1,1
4043346,4080134,1,1
4022201,37110687,1,1
4002659,4124695,1,1
4054062,437122,1,1
4041284,4322635,1,1
4058670,442764,1,1
4041284,4326594,1,1
4054054,77356,1,1
4024705,4305304,1,1
4022201,4344040,1,1
4054054,4136716,1,1
4029812,605342,1,1
4024558,4294304,1,1
4028013,4032881,1,1
4022202,4129406,1,1
4021915,4276285,1,1
4050542,195125,1,1
4066814,26662,1,1
4059703,4059704,1,1
4006473,4311402,1,1
4005650,4067775,1,1
4041284,4115558,1,1
4054054,4194890,1,1
4022201,4345577,1,1
4041284,4036155,1,1
4012073,4012498,1,1
4063909,4063910,1,1
4032939,619216,1,1
4059259,4059258,1,1
4022201,257370,1,1
4106283,4151087,1,1
4151529,4152968,1,1
4132086,75915,1,1
4134294,314381,1,1
4160345,4131904,1,1
4102562,78586,1,1
4155036,4154730,1,1
4154168,44782619,1,1
4154168,4155077,1,1
4116804,606633,1,1
4090747,201136,1,1
4154168,4151201,1,1
4140532,606560,1,1
4134439,42709924,1,1
4103183,601837,1,1
4126903,4052835,1,1
4155590,4155474,1,1
4132549,192957,1,1
4095643,197311,1,1
4094691,4170969,1,1
4152541,36685970,1,1
4132792,4273853,1,1
4102562,4170463,1,1
4095793,4286186,1,1
4151197,433916,1,1
4134127,439053,1,1
4129392,4247910,1,1
4118017,45766907,1,1
4096606,4177133,1,1
4090610,4091482,1,1
4090268,4081156,1,1
4135082,4145731,1,1
4095850,600861,1,1
4165545,4314399,1,1
4094809,4333983,1,1
4104157,4102122,1,1
4136701,4188982,1,1
4129723,4291454,1,1
4106999,193830,1,1
4134156,40490974,1,1
4110154,379778,1,1
4115105,602827,1,1
4083964,600858,1,1
4134174,4134175,1,1
4134134,4256912,1,1
4080849,605935,1,1
4082798,4280509,1,1
4113619,4107669,1,1
4093227,194703,1,1
4134294,45773397,1,1
4082798,197684,1,1
4115576,196469,1,1
4157032,4135822,1,1
4134171,4017388,1,1
4080992,4162092,1,1
4103662,4062223,1,1
4087618,4112287,1,1
4082586,4032880,1,1
4126897,4127412,1,1
4102562,74533,1,1
4090401,4096010,1,1
4103504,605322,1,1
4116727,320888,1,1
4107514,194690,1,1
4095852,4129394,1,1
4129407,4053151,1,1
4140510,433997,1,1
4134294,378679,1,1
4085557,600577,1,1
4138287,4019055,1,1
4101796,4113235,1,1
4129010,4090074,1,1
4134294,374021,1,1
4143116,4138607,1,1
4079976,4049645,1,1
4162723,4185563,1,1
4136722,77115,1,1
4162723,603188,1,1
4126564,40481315,1,1
4116573,138612,1,1
4154162,44783027,1,1
4131755,4181355,1,1
4134127,192355,1,1
4096314,4056460,1,1
4121932,619862,1,1
4156143,4055531,1,1
4154739,4047852,1,1
4132080,4175167,1,1
4116926,40490828,1,1
4083297,4213599,1,1
4151204,4111843,1,1
